name,type,serial
Dell OptiPlex 7090,Ordinateur,DLOP7090-001
Dell OptiPlex 7090,Ordinateur,DLOP7090-002
HP EliteDesk 800 G6,Ordinateur,HPED800-014
HP EliteDesk 800 G6,Ordinateur,HPED800-015
Lenovo ThinkCentre M70q,Ordinateur,LNTC70Q-031
Lenovo ThinkPad T14,Ordinateur portable,LNT14-1102
Lenovo ThinkPad T14,Ordinateur portable,LNT14-1103
HP ProBook 450 G9,Ordinateur portable,HPPB450-220
HP ProBook 450 G9,Ordinateur portable,HPPB450-221
Dell Latitude 5430,Ordinateur portable,DLL5430-077
Dell Latitude 5430,Ordinateur portable,DLL5430-078
Apple MacBook Air M2,Ordinateur portable,MBA-M2-0455
Apple MacBook Pro 14,Ordinateur portable,MBP14-0099
Asus ExpertCenter D7,Ordinateur,ASEC-D7-512
Acer Veriton X,Ordinateur,ACVX-2024-08
Dell Precision 3660,Station de travail,DLP3660-006
HP Z2 Tower G9,Station de travail,HPZ2G9-003
Microsoft Surface Pro 9,Tablette,MSSP9-7781
Microsoft Surface Pro 9,Tablette,MSSP9-7782
Raspberry Pi 4 Model B,Mini-PC,RPI4B-0501
