name,type,serial
Logitech MX Keys,Clavier,LGMXK-0091
Logitech MX Keys,Clavier,LGMXK-0092
Dell KB216,Clavier,DLKB216-330
Dell KB216,Clavier,DLKB216-331
Logitech MX Master 3S,Souris,LGMM3S-0210
Logitech MX Master 3S,Souris,LGMM3S-0211
Dell MS116,Souris,DLMS116-540
Dell MS116,Souris,DLMS116-541
HP LaserJet Pro M404,Imprimante,HPLJ404-012
HP LaserJet Pro M404,Imprimante,HPLJ404-013
Brother MFC-L3750,Imprimante,BRMFC375-008
Epson EcoTank L3250,Imprimante,EPL3250-077
Canon imageRUNNER 2425,Imprimante,CNIR2425-004
Cisco Catalyst 2960X,Switch,CSC2960-201
Cisco Catalyst 2960X,Switch,CSC2960-202
TP-Link TL-SG1024,Switch,TPSG1024-066
Ubiquiti UniFi AP AC Pro,Borne WiFi,UBAPAC-1150
Ubiquiti UniFi AP AC Pro,Borne WiFi,UBAPAC-1151
Jabra Evolve2 65,Casque,JBEV265-302
Logitech C920 HD,Webcam,LGC920-0488
APC Back-UPS 700,Onduleur,APCBU700-019
